session,subject,region,target,cell_subset,n_trials,n_neurons_total,n_neurons_sampled,n_sessions,n_subjects,n_mice,n_trials_short,n_trials_long,subset_neuron_limit,subset_available_neurons,subset_bootstrap_multiplier,actual,predicted,value,orientation_idx,orientation_deg
YH17VT_V1_20250414_1451ShortLong,YH17VT,V1,change_vs_repeat,all,1860,152,152,1,1,1,930,930,152,152,1.0,repeat,repeat,1969.0,,
YH17VT_V1_20250414_1451ShortLong,YH17VT,V1,change_vs_repeat,all,1860,152,152,1,1,1,930,930,152,152,1.0,repeat,change,1631.0,,
YH17VT_V1_20250414_1451ShortLong,YH17VT,V1,change_vs_repeat,all,1860,152,152,1,1,1,930,930,152,152,1.0,change,repeat,49.0,,
YH17VT_V1_20250414_1451ShortLong,YH17VT,V1,change_vs_repeat,all,1860,152,152,1,1,1,930,930,152,152,1.0,change,change,71.0,,
YH17VT_V1_20250414_1451ShortLong,YH17VT,V1,orientation,all,1860,152,152,1,1,1,930,930,152,152,1.0,ori1,ori1,324.0,,
YH17VT_V1_20250414_1451ShortLong,YH17VT,V1,orientation,all,1860,152,152,1,1,1,930,930,152,152,1.0,ori1,ori2,40.0,,
YH17VT_V1_20250414_1451ShortLong,YH17VT,V1,orientation,all,1860,152,152,1,1,1,930,930,152,152,1.0,ori1,ori3,23.0,,
YH17VT_V1_20250414_1451ShortLong,YH17VT,V1,orientation,all,1860,152,152,1,1,1,930,930,152,152,1.0,ori1,ori4,41.0,,
YH17VT_V1_20250414_1451ShortLong,YH17VT,V1,orientation,all,1860,152,152,1,1,1,930,930,152,152,1.0,ori2,ori1,46.0,,
YH17VT_V1_20250414_1451ShortLong,YH17VT,V1,orientation,all,1860,152,152,1,1,1,930,930,152,152,1.0,ori2,ori2,212.0,,
YH17VT_V1_20250414_1451ShortLong,YH17VT,V1,orientation,all,1860,152,152,1,1,1,930,930,152,152,1.0,ori2,ori3,65.0,,
YH17VT_V1_20250414_1451ShortLong,YH17VT,V1,orientation,all,1860,152,152,1,1,1,930,930,152,152,1.0,ori2,ori4,61.0,,
YH17VT_V1_20250414_1451ShortLong,YH17VT,V1,orientation,all,1860,152,152,1,1,1,930,930,152,152,1.0,ori3,ori1,27.0,,
YH17VT_V1_20250414_1451ShortLong,YH17VT,V1,orientation,all,1860,152,152,1,1,1,930,930,152,152,1.0,ori3,ori2,68.0,,
YH17VT_V1_20250414_1451ShortLong,YH17VT,V1,orientation,all,1860,152,152,1,1,1,930,930,152,152,1.0,ori3,ori3,327.0,,
YH17VT_V1_20250414_1451ShortLong,YH17VT,V1,orientation,all,1860,152,152,1,1,1,930,930,152,152,1.0,ori3,ori4,59.0,,
YH17VT_V1_20250414_1451ShortLong,YH17VT,V1,orientation,all,1860,152,152,1,1,1,930,930,152,152,1.0,ori4,ori1,53.0,,
YH17VT_V1_20250414_1451ShortLong,YH17VT,V1,orientation,all,1860,152,152,1,1,1,930,930,152,152,1.0,ori4,ori2,62.0,,
YH17VT_V1_20250414_1451ShortLong,YH17VT,V1,orientation,all,1860,152,152,1,1,1,930,930,152,152,1.0,ori4,ori3,48.0,,
YH17VT_V1_20250414_1451ShortLong,YH17VT,V1,orientation,all,1860,152,152,1,1,1,930,930,152,152,1.0,ori4,ori4,404.0,,
YH17VT_V1_20250414_1451ShortLong,YH17VT,V1,to_or_repeat_ori1_0deg,all,1860,152,152,1,1,1,930,930,152,152,1.0,repeat,repeat,439.0,1.0,0.0
YH17VT_V1_20250414_1451ShortLong,YH17VT,V1,to_or_repeat_ori1_0deg,all,1860,152,152,1,1,1,930,930,152,152,1.0,repeat,to,217.0,1.0,0.0
YH17VT_V1_20250414_1451ShortLong,YH17VT,V1,to_or_repeat_ori1_0deg,all,1860,152,152,1,1,1,930,930,152,152,1.0,to,repeat,12.0,1.0,0.0
YH17VT_V1_20250414_1451ShortLong,YH17VT,V1,to_or_repeat_ori1_0deg,all,1860,152,152,1,1,1,930,930,152,152,1.0,to,to,20.0,1.0,0.0
YH17VT_V1_20250414_1451ShortLong,YH17VT,V1,to_or_repeat_ori2_45deg,all,1860,152,152,1,1,1,930,930,152,152,1.0,repeat,repeat,230.0,2.0,45.0
YH17VT_V1_20250414_1451ShortLong,YH17VT,V1,to_or_repeat_ori2_45deg,all,1860,152,152,1,1,1,930,930,152,152,1.0,repeat,to,150.0,2.0,45.0
YH17VT_V1_20250414_1451ShortLong,YH17VT,V1,to_or_repeat_ori2_45deg,all,1860,152,152,1,1,1,930,930,152,152,1.0,to,repeat,4.0,2.0,45.0
YH17VT_V1_20250414_1451ShortLong,YH17VT,V1,to_or_repeat_ori2_45deg,all,1860,152,152,1,1,1,930,930,152,152,1.0,to,to,6.0,2.0,45.0
YH17VT_V1_20250414_1451ShortLong,YH17VT,V1,to_or_repeat_ori3_90deg,all,1860,152,152,1,1,1,930,930,152,152,1.0,repeat,repeat,422.0,3.0,90.0
YH17VT_V1_20250414_1451ShortLong,YH17VT,V1,to_or_repeat_ori3_90deg,all,1860,152,152,1,1,1,930,930,152,152,1.0,repeat,to,283.0,3.0,90.0
YH17VT_V1_20250414_1451ShortLong,YH17VT,V1,to_or_repeat_ori3_90deg,all,1860,152,152,1,1,1,930,930,152,152,1.0,to,repeat,12.0,3.0,90.0
YH17VT_V1_20250414_1451ShortLong,YH17VT,V1,to_or_repeat_ori3_90deg,all,1860,152,152,1,1,1,930,930,152,152,1.0,to,to,18.0,3.0,90.0
YH17VT_V1_20250414_1451ShortLong,YH17VT,V1,to_or_repeat_ori4_135deg,all,1860,152,152,1,1,1,930,930,152,152,1.0,repeat,repeat,571.0,4.0,135.0
YH17VT_V1_20250414_1451ShortLong,YH17VT,V1,to_or_repeat_ori4_135deg,all,1860,152,152,1,1,1,930,930,152,152,1.0,repeat,to,364.0,4.0,135.0
YH17VT_V1_20250414_1451ShortLong,YH17VT,V1,to_or_repeat_ori4_135deg,all,1860,152,152,1,1,1,930,930,152,152,1.0,to,repeat,11.0,4.0,135.0
YH17VT_V1_20250414_1451ShortLong,YH17VT,V1,to_or_repeat_ori4_135deg,all,1860,152,152,1,1,1,930,930,152,152,1.0,to,to,23.0,4.0,135.0
YH17VT_V1_20250414_1451ShortLong,YH17VT,V1,change_vs_repeat,exc,1860,113,113,1,1,1,930,930,113,113,1.0,repeat,repeat,1738.0,,
YH17VT_V1_20250414_1451ShortLong,YH17VT,V1,change_vs_repeat,exc,1860,113,113,1,1,1,930,930,113,113,1.0,repeat,change,1862.0,,
YH17VT_V1_20250414_1451ShortLong,YH17VT,V1,change_vs_repeat,exc,1860,113,113,1,1,1,930,930,113,113,1.0,change,repeat,53.0,,
YH17VT_V1_20250414_1451ShortLong,YH17VT,V1,change_vs_repeat,exc,1860,113,113,1,1,1,930,930,113,113,1.0,change,change,67.0,,
YH17VT_V1_20250414_1451ShortLong,YH17VT,V1,orientation,exc,1860,113,113,1,1,1,930,930,113,113,1.0,ori1,ori1,326.0,,
YH17VT_V1_20250414_1451ShortLong,YH17VT,V1,orientation,exc,1860,113,113,1,1,1,930,930,113,113,1.0,ori1,ori2,33.0,,
YH17VT_V1_20250414_1451ShortLong,YH17VT,V1,orientation,exc,1860,113,113,1,1,1,930,930,113,113,1.0,ori1,ori3,23.0,,
YH17VT_V1_20250414_1451ShortLong,YH17VT,V1,orientation,exc,1860,113,113,1,1,1,930,930,113,113,1.0,ori1,ori4,46.0,,
YH17VT_V1_20250414_1451ShortLong,YH17VT,V1,orientation,exc,1860,113,113,1,1,1,930,930,113,113,1.0,ori2,ori1,50.0,,
YH17VT_V1_20250414_1451ShortLong,YH17VT,V1,orientation,exc,1860,113,113,1,1,1,930,930,113,113,1.0,ori2,ori2,197.0,,
YH17VT_V1_20250414_1451ShortLong,YH17VT,V1,orientation,exc,1860,113,113,1,1,1,930,930,113,113,1.0,ori2,ori3,73.0,,
YH17VT_V1_20250414_1451ShortLong,YH17VT,V1,orientation,exc,1860,113,113,1,1,1,930,930,113,113,1.0,ori2,ori4,64.0,,
YH17VT_V1_20250414_1451ShortLong,YH17VT,V1,orientation,exc,1860,113,113,1,1,1,930,930,113,113,1.0,ori3,ori1,26.0,,
YH17VT_V1_20250414_1451ShortLong,YH17VT,V1,orientation,exc,1860,113,113,1,1,1,930,930,113,113,1.0,ori3,ori2,65.0,,
YH17VT_V1_20250414_1451ShortLong,YH17VT,V1,orientation,exc,1860,113,113,1,1,1,930,930,113,113,1.0,ori3,ori3,331.0,,
YH17VT_V1_20250414_1451ShortLong,YH17VT,V1,orientation,exc,1860,113,113,1,1,1,930,930,113,113,1.0,ori3,ori4,59.0,,
YH17VT_V1_20250414_1451ShortLong,YH17VT,V1,orientation,exc,1860,113,113,1,1,1,930,930,113,113,1.0,ori4,ori1,50.0,,
YH17VT_V1_20250414_1451ShortLong,YH17VT,V1,orientation,exc,1860,113,113,1,1,1,930,930,113,113,1.0,ori4,ori2,69.0,,
YH17VT_V1_20250414_1451ShortLong,YH17VT,V1,orientation,exc,1860,113,113,1,1,1,930,930,113,113,1.0,ori4,ori3,47.0,,
YH17VT_V1_20250414_1451ShortLong,YH17VT,V1,orientation,exc,1860,113,113,1,1,1,930,930,113,113,1.0,ori4,ori4,401.0,,
YH17VT_V1_20250414_1451ShortLong,YH17VT,V1,to_or_repeat_ori1_0deg,exc,1860,113,113,1,1,1,930,930,113,113,1.0,repeat,repeat,418.0,1.0,0.0
YH17VT_V1_20250414_1451ShortLong,YH17VT,V1,to_or_repeat_ori1_0deg,exc,1860,113,113,1,1,1,930,930,113,113,1.0,repeat,to,238.0,1.0,0.0
YH17VT_V1_20250414_1451ShortLong,YH17VT,V1,to_or_repeat_ori1_0deg,exc,1860,113,113,1,1,1,930,930,113,113,1.0,to,repeat,16.0,1.0,0.0
YH17VT_V1_20250414_1451ShortLong,YH17VT,V1,to_or_repeat_ori1_0deg,exc,1860,113,113,1,1,1,930,930,113,113,1.0,to,to,16.0,1.0,0.0
YH17VT_V1_20250414_1451ShortLong,YH17VT,V1,to_or_repeat_ori2_45deg,exc,1860,113,113,1,1,1,930,930,113,113,1.0,repeat,repeat,202.0,2.0,45.0
YH17VT_V1_20250414_1451ShortLong,YH17VT,V1,to_or_repeat_ori2_45deg,exc,1860,113,113,1,1,1,930,930,113,113,1.0,repeat,to,178.0,2.0,45.0
YH17VT_V1_20250414_1451ShortLong,YH17VT,V1,to_or_repeat_ori2_45deg,exc,1860,113,113,1,1,1,930,930,113,113,1.0,to,repeat,3.0,2.0,45.0
YH17VT_V1_20250414_1451ShortLong,YH17VT,V1,to_or_repeat_ori2_45deg,exc,1860,113,113,1,1,1,930,930,113,113,1.0,to,to,7.0,2.0,45.0
YH17VT_V1_20250414_1451ShortLong,YH17VT,V1,to_or_repeat_ori3_90deg,exc,1860,113,113,1,1,1,930,930,113,113,1.0,repeat,repeat,365.0,3.0,90.0
YH17VT_V1_20250414_1451ShortLong,YH17VT,V1,to_or_repeat_ori3_90deg,exc,1860,113,113,1,1,1,930,930,113,113,1.0,repeat,to,340.0,3.0,90.0
YH17VT_V1_20250414_1451ShortLong,YH17VT,V1,to_or_repeat_ori3_90deg,exc,1860,113,113,1,1,1,930,930,113,113,1.0,to,repeat,11.0,3.0,90.0
YH17VT_V1_20250414_1451ShortLong,YH17VT,V1,to_or_repeat_ori3_90deg,exc,1860,113,113,1,1,1,930,930,113,113,1.0,to,to,19.0,3.0,90.0
